exit,fitness,n_valid,pf_is,pf_oos,mk_oos_z2
Ret_72,78.5,5,1.2897159562669316,1.3569790711868108,57.99999999999999
Ret_96,0.0,6,1.0829207492751292,1.306368072786243,10.2
Ret_72,68.25,6,1.14915960081858,1.3548178762769825,57.3
Ret_96,59.25,6,1.0819787403873078,1.5532331832246205,86.8
Ret_72,36.5,6,1.0772446477955042,1.2168686712471513,4.1000000000000005
Ret_96,12.25,6,1.0347289923644893,1.359203238390044,0.2
Ret_96,11.5,6,1.0383823823947134,1.4676247126094473,70.5
SINTETICA_REVERSE,80.0,6,1.2183307551796168,1.4580222649835495,91.3
Ret_96,27.500000000000004,6,1.0701614781338329,1.364786370457277,12.3
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.6
Ret_72,51.5,6,1.0830147483142765,1.2969942499004496,23.5
Ret_96,16.375,6,1.0746233520803465,1.3942954662400093,33.1
Ret_72,75.5,6,1.1840034582147403,1.3251049192604607,45.4
Ret_96,34.5,6,1.0994425450158127,1.4491653545178933,77.2
Ret_96,18.125,6,1.0422371730505453,1.4198225172152719,40.300000000000004
Ret_72,55.125,6,1.0686873188155526,1.2934257476433981,21.6
Ret_96,44.375,6,1.0810019816679983,1.326025681191164,21.5
Ret_96,34.375,6,1.1865933917446447,1.4658485593237058,50.6
Ret_96,0.0,6,1.0751322405830241,1.472065606292981,75.1
Ret_72,64.0,6,1.0602046486623482,1.104626622809155,3.5999999999999996
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,33.2
Ret_72,75.875,6,1.1739996468772298,1.1627110944790056,9.2
Ret_96,21.0,6,1.0601032119851614,1.3557963698864892,9.0
Ret_96,18.625,6,1.0980216638911076,1.3377981300966213,25.2
Ret_72,0.0,6,1.0482000124194526,1.2941536767745196,4.8
Ret_96,4.75,6,1.0617988445392845,1.4965421395948775,76.4
Ret_72,34.875,6,1.0901649048956892,1.3690813772590245,66.7
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.199999999999996
Ret_96,33.0,6,1.1111261184454981,1.4246738609916303,58.199999999999996
Ret_12,44.625,4,1.205799578342428,1.3465225410511183,95.39999999999999
Ret_96,36.25,6,1.0594096426943658,1.2254231770070052,17.599999999999998
Ret_96,0.0,6,1.0539669918116643,1.3392455320777885,15.6
Ret_96,0.0,6,1.051000631503849,1.3463077177395282,0.5
Ret_96,42.75,6,1.1284126559961765,1.4984121699519737,82.6
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.699999999999996
Ret_96,37.875,6,1.0687760398075183,1.5095082116098733,71.8
Ret_96,0.0,6,1.0629749575897467,1.4429607971242795,77.4
Ret_96,25.0,6,1.063472479361479,1.4783868376578795,87.4
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,39.300000000000004
Ret_24,84.5,6,1.118605879964982,1.2184098281392364,74.2
