exit,pf_is,pf_oos,mk_is,mk_oos
Ret_72,1.4124,1.1781,98.8,8.1
Ret_72,1.3976,1.4143,98.9,28.799999999999997
Ret_96,1.4003,1.4463,95.5,27.800000000000004
Ret_96,1.3855,1.3246,94.5,16.5
Ret_96,1.4516,1.1414,98.3,2.7
Ret_96,1.4888,1.1291,98.8,2.7
Ret_96,1.4277,1.9122,98.2,50.4
Ret_72,1.3637,1.2896,95.1,18.5
Ret_96,1.5945,1.2814,99.6,14.799999999999999
Ret_96,1.3625,1.1174,96.0,5.3
Ret_96,1.3907,1.7002,97.3,31.7
Ret_96,1.4093,0.982,98.5,0.8999999999999999
Ret_96,1.38,1.1969,96.6,10.6
Ret_96,1.3749,1.8706,95.1,41.3
Ret_96,1.3908,1.4393,99.8,20.599999999999998
Ret_72,1.3644,1.0988,96.89999999999999,7.3
Ret_72,1.3702,1.4794,99.7,30.4
Ret_72,1.3622,1.7068,97.2,46.800000000000004
Ret_72,1.4124,1.1781,98.8,8.1
Ret_72,1.3944,1.171,96.3,15.0
Ret_72,1.4432,1.2482,99.9,13.900000000000002
Ret_72,1.4162,1.746,98.5,59.199999999999996
Ret_72,1.3951,1.542,97.39999999999999,37.9
Ret_72,1.4024,1.423,99.1,31.7
Ret_72,1.3961,1.5003,98.1,35.6
Ret_96,1.3869,1.0731,98.9,1.7999999999999998
Ret_72,1.3952,1.0816,98.9,7.3999999999999995
Ret_96,1.4379,1.8882,99.8,36.6
Ret_96,1.3925,0.997,96.0,1.4000000000000001
Ret_96,1.3915,1.7744,97.89999999999999,35.8
Ret_72,1.5278,2.0039,99.7,60.8
Ret_72,1.4405,1.0559,99.6,3.4000000000000004
Ret_72,1.4449,1.1496,98.6,11.4
Ret_72,1.3988,1.4799,98.4,30.7
Ret_96,1.4182,1.2958,97.2,19.400000000000002
Ret_72,1.4,1.4116,97.6,38.5
Ret_96,1.4379,1.7953,98.0,52.2
Ret_72,1.4369,1.5938,99.1,39.800000000000004
Ret_96,1.4992,1.3877,99.0,14.6
Ret_72,1.4049,1.1419,97.89999999999999,10.7
Ret_96,1.4101,1.7592,99.4,38.9
Ret_96,1.3766,1.3857,97.6,15.9
Ret_96,1.407,1.6177,99.9,32.4
Ret_96,1.3984,2.6531,99.2,74.1
Ret_96,1.3984,2.6531,99.2,74.1
Ret_96,1.3798,92853570.0249,98.8,96.3
Ret_96,1.3873,1.509,99.0,22.0
Ret_96,1.3715,2.5876,98.4,74.9
Ret_96,1.393,2.5161,98.0,46.6
Ret_72,1.3638,1.739,98.7,52.800000000000004
Ret_72,1.4623,1.7665,99.4,53.400000000000006
Ret_72,1.4321,1.8703,98.4,67.2
Ret_96,1.384,1.4839,96.89999999999999,34.9
Ret_96,1.384,1.4839,96.89999999999999,34.9
Ret_96,1.5466,2.0287,99.2,66.10000000000001
Ret_72,1.3622,1.8021,98.9,50.6
Ret_72,1.3844,1.9128,98.2,59.0
Ret_96,1.4099,1.4661,98.9,26.6
Ret_72,1.4305,1.5862,99.3,44.5
Ret_96,1.3672,57214793.3023,96.0,89.0
Ret_96,1.3672,68265836.6246,96.0,92.4
Ret_96,1.4019,1.7982,96.6,44.3
Ret_72,1.4678,1.7357,99.5,54.900000000000006
Ret_72,1.4431,1.5002,98.0,53.6
Ret_96,1.3816,1.4075,97.39999999999999,26.200000000000003
Ret_72,1.3822,1.6159,98.9,47.4
Ret_96,1.3661,33653144.7468,97.6,77.7
Ret_72,1.3679,2.21,98.3,63.3
Ret_72,1.3644,1.612,98.9,48.199999999999996
Ret_72,1.4814,1.4715,99.1,51.9
Ret_72,1.4434,1.6182,99.2,49.3
Ret_96,1.3705,1.9147,95.3,60.6
Ret_72,1.3749,1.7686,98.9,53.1
Ret_72,1.4054,1.6069,98.2,49.4
Ret_72,1.3663,2.0344,98.0,55.00000000000001
Ret_72,1.3667,1.5938,98.5,49.8
Ret_72,1.3718,1.6138,98.2,49.4
Ret_96,1.4204,1.8443,98.0,44.3
Ret_72,1.3826,1.57,99.2,43.5
Ret_96,1.3984,1.399,99.9,12.1
Ret_72,1.4306,1.7199,98.8,55.400000000000006
Ret_72,1.3672,1.5655,98.5,45.9
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
