rule,side,exit,n_is,n_oos,pf_is,pf_oos
force_55_sft >= Close_sft|roc_89_sft >= 0.092346,LONG,Ret_96,296,200,1.2986,1.6108
mfi_89_sft >= 45.558933|force_8_sft >= Close_sft|roc_5_sft <= 0.409222,LONG,Ret_96,371,236,1.2635,1.5116
force_89_sft >= 7990.140625|roc_48_sft <= 1.544718,LONG,Ret_96,327,203,1.2809,1.6078
mfi_144_sft <= 50.847649|roc_120_sft >= -0.52,LONG,Ret_96,236,137,1.3478,1.9831
mfi_89_sft <= 55.650263|force_8_sft >= 3517347.45|mfi_21_sft <= 60.614326,LONG,Ret_96,214,155,1.3182,1.5153
mom_89_sft <= 29.907|force_48_sft >= 4972.991211,LONG,Ret_96,352,199,1.2982,1.4958
mfi_89_sft <= 59.931632|force_34_sft >= -2.74,LONG,Ret_96,370,232,1.2527,1.4856
force_34_sft >= -882131.46875|roc_89_sft >= 0.092346,LONG,Ret_96,323,207,1.2504,1.6902
force_34_sft >= -5.54|mfi_200_sft <= 54.207512,LONG,Ret_96,317,196,1.2703,1.606
mom_34_sft >= 4.79|mom_55_sft >= -9.552,LONG,Ret_96,341,225,1.2932,1.4147
roc_89_sft >= -2.5|force_24_sft >= 5.1,LONG,Ret_96,380,244,1.2706,1.4972
rsi_48_sft <= 60.176003|mom_55_sft >= 5.42|roc_24_sft <= 0.029852,LONG,Ret_96,255,187,1.4037,1.4458
cmo_24_sft >= 4.51|roc_13_sft <= 0.339135,LONG,Ret_96,334,211,1.2549,1.4077
force_89_sft >= 7.41|roc_89_sft <= 2.150699,LONG,Ret_96,326,198,1.312,1.7523
force_34_sft >= -7.54|mfi_200_sft <= 54.207512,LONG,Ret_96,317,196,1.2703,1.606
mfi_120_sft <= 55.01005|mom_89_sft >= 1.27,LONG,Ret_96,290,182,1.2833,1.4518
force_34_sft >= 5.31|mfi_55_sft <= 56.83432,LONG,Ret_96,355,220,1.2529,1.584
force_89_sft >= -0.04|roc_8_sft <= 7.76|roc_89_sft <= 2.150699,LONG,Ret_96,326,198,1.312,1.7523
mfi_120_sft <= 50.774323|mfi_55_sft >= 44.411974,LONG,Ret_96,284,175,1.4147,1.5214
force_34_sft >= -1.52|mfi_55_sft <= 56.83432,LONG,Ret_96,355,220,1.2529,1.584
roc_89_sft >= 0.092346|force_89_sft >= 7990.140625,LONG,Ret_96,289,197,1.3015,1.7173
force_55_sft >= 2.88|mom_89_sft >= 1.27,LONG,Ret_96,296,201,1.2917,1.6453
rsi_5_sft >= 77.301424|mfi_120_sft >= 42.367754,LONG,Ret_96,325,212,1.3423,1.5685
roc_21_sft <= 0.954321|force_5_sft >= Close_sft|roc_89_sft >= 0.092346,LONG,Ret_96,311,204,1.2501,1.5504
mfi_55_sft <= 56.83432|force_34_sft >= 3.25,LONG,Ret_96,355,220,1.2529,1.584
force_48_sft >= 9.81|mom_21_sft <= 6.59|mfi_5_sft >= 30.978184,LONG,Ret_96,339,197,1.329,1.3675
cmo_5_sft >= 54.602844|mfi_120_sft >= 42.367754,LONG,Ret_96,325,212,1.3423,1.5685
force_89_sft >= 8.28|mom_8_sft <= Close_sft|roc_144_sft <= 2.706932,LONG,Ret_96,322,187,1.3395,1.6586
force_55_sft >= 7923.229004|mom_89_sft >= 1.27,LONG,Ret_96,296,200,1.2934,1.666
force_34_sft >= Close_sft|cmo_13_sft >= 0.899098|roc_89_sft >= 0.092346,LONG,Ret_96,297,200,1.2833,1.6855
roc_89_sft >= 0.092346|force_55_sft >= 7923.229004|mom_5_sft >= -5.55,LONG,Ret_96,296,198,1.2946,1.5609
force_24_sft <= 945736.46875|cmo_24_sft >= -12.308913|force_48_sft >= Close_sft,LONG,Ret_96,334,197,1.2567,1.4991
cmo_21_sft >= 9.29,LONG,Ret_96,345,220,1.299,1.4144
mom_89_sft >= -8.58|roc_144_sft <= 1.420344,LONG,Ret_96,333,183,1.2943,1.6479
mfi_89_sft >= 50.597168|rsi_55_sft <= 55.05838|rsi_5_sft >= -9.57,LONG,Ret_96,295,192,1.2968,1.5179
roc_144_sft >= -2.339845|force_5_sft <= Close_sft|mfi_55_sft >= 56.83432,LONG,Ret_96,219,160,1.4273,1.8242
roc_5_sft <= 0.409222|cmo_8_sft >= 43.989711,LONG,Ret_96,248,158,1.5249,1.5991
cmo_21_sft >= 9.05,LONG,Ret_96,346,223,1.2914,1.3993
cmo_21_sft >= 9.34,LONG,Ret_96,345,220,1.2935,1.4115
mfi_144_sft <= 54.681004|roc_13_sft >= -4.66|force_48_sft >= Close_sft,LONG,Ret_96,316,185,1.2669,1.6875
force_34_sft >= -6.34|roc_34_sft <= 0.035466|roc_13_sft >= 0.015546,LONG,Ret_96,282,168,1.2875,1.5605
cmo_120_sft >= 0.942767|roc_144_sft <= 2.706932,LONG,Ret_96,294,190,1.3106,1.5992
cmo_144_sft <= 9.7|force_34_sft >= Close_sft,LONG,Ret_96,346,205,1.2904,1.3885
mom_55_sft <= 11.248|roc_48_sft >= -0.651132|mom_89_sft >= 1.27,LONG,Ret_96,299,177,1.2665,1.6006
force_55_sft >= -765378.0|mom_34_sft >= 5.79,LONG,Ret_96,326,225,1.3077,1.3954
mfi_120_sft <= 50.774323|mom_200_sft >= -17.6405,LONG,Ret_96,262,148,1.2825,2.012
rsi_34_sft >= 50.357002|mfi_144_sft <= 54.681004|force_200_sft <= 461822.953125,LONG,Ret_96,273,164,1.284,1.4706
roc_13_sft >= 0.339135|mfi_13_sft >= -3.59|mom_89_sft >= 5.89,LONG,Ret_72,314,235,1.2617,1.5432
cmo_21_sft >= 9.55,LONG,Ret_96,344,219,1.2765,1.4594
roc_55_sft <= 0.047226|cmo_34_sft >= 2.43,LONG,Ret_96,256,162,1.3199,1.5027
rsi_200_sft <= Close_sft|mfi_55_sft >= 56.83432|force_5_sft <= 6.65,LONG,Ret_96,223,165,1.3932,1.8175
mom_89_sft >= 6.46|roc_13_sft >= 0.339135,LONG,Ret_72,311,234,1.2619,1.5432
roc_144_sft <= 1.420344|roc_89_sft >= 0.092346,LONG,Ret_96,276,164,1.3129,1.8698
force_34_sft >= Close_sft|cmo_144_sft <= Close_sft|mom_144_sft >= 0.94,LONG,Ret_96,289,188,1.2601,1.7185
force_34_sft >= -0.77|roc_8_sft >= 0.251397|mfi_48_sft <= 63.139385,LONG,Ret_96,340,222,1.2842,1.633
