Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
aroon_120_sft >= -54.166668|plus_di_48_sft >= 40.237511|efficiency_55_sft <= ema_55_sft,SHORT,SINTETICA_REVERSE,59.656,0.98,1824,77,0.8603,2.3407,0.675,100.0,94.4,0.7575,0.7792
aroon_200_sft >= -51.5|trix_89_sft >= 0.014626,SHORT,Ret_12,2.561,0.8775,3293,85,2.0,1.2876,0.6743,100.0,90.5,0.5742,0.613
plus_di_200_sft >= 30.140879|trix_89_sft >= 0.014626,SHORT,Ret_12,2.341,0.8728,3293,83,2.0,1.2937,0.6738,99.9,90.6,0.5484,0.6524
trix_13_sft >= 0.00129|adx_21_sft >= 29.287378,SHORT,SINTETICA_REVERSE,18.38,0.9715,1291,76,0.9089,2.132,0.671,100.0,92.0,0.6818,0.6943
aroon_120_sft >= 72.5|ema_89_sft <= ema_21_sft,SHORT,Ret_12,12.185,0.9541,1260,76,1.0551,1.8867,0.6699,100.0,94.6,0.7198,0.7603
trix_89_sft >= 0.014626|plus_di_120_sft >= 27.577505,SHORT,Ret_12,2.333,0.8742,3293,86,2.0,1.2808,0.6682,99.9,90.5,0.5571,0.6472
trix_55_sft >= 0.02781|linreg_21_sft <= 0.000617|aroon_120_sft >= -54.166668,SHORT,Ret_12,5.398,0.941,3390,86,1.3915,1.6803,0.6678,100.0,92.4,0.614,0.5602
macdh_48_sft <= 0.00064|trix_55_sft >= 0.02781|trix_89_sft <= ema_8_sft,SHORT,Ret_12,5.569,0.9299,2296,89,1.4887,1.5124,0.6644,100.0,92.7,0.5802,0.5988
linreg_34_sft >= 0.000552|minus_di_55_sft <= 28.073263,SHORT,SINTETICA_REVERSE,38.112,0.9883,783,104,0.6661,2.5427,0.6639,100.0,91.3,0.7226,0.6226
trix_55_sft >= 0.02781|macdh_13_sft <= 0.000894|linreg_55_sft >= -5.93,SHORT,Ret_12,8.267,0.9763,2279,90,1.0202,2.0357,0.6627,100.0,92.1,0.6399,0.5417
minus_di_55_sft <= 28.073263|adx_89_sft >= 5.947297|macdh_120_sft >= 0.00037,SHORT,SINTETICA_REVERSE,62.987,0.9748,1186,95,0.8211,2.267,0.6613,100.0,90.4,0.7158,0.6171
aroon_144_sft >= 61.111111|efficiency_144_sft >= 0.020109,SHORT,SINTETICA_REVERSE,4.463,0.8445,1801,90,2.0,1.2087,0.658,100.0,93.3,0.6236,0.8324
minus_di_55_sft >= -8.32|aroon_120_sft >= Close_sft|adx_13_sft >= 39.315754,SHORT,SINTETICA_REVERSE,7.279,0.9782,1457,99,0.8705,2.1941,0.6578,100.0,90.3,0.6728,0.7639
linreg_200_sft >= 0.000164|efficiency_48_sft >= 0.029257,SHORT,SINTETICA_REVERSE,6.551,0.9045,2035,78,1.3533,1.6463,0.6537,100.0,90.0,0.5838,0.7176
minus_di_48_sft <= 24.211508|trix_24_sft >= -9.5|adx_21_sft >= 16.086281,SHORT,SINTETICA_REVERSE,19.294,0.9663,671,107,0.7816,2.1701,0.6525,100.0,91.1,0.7027,0.6198
plus_di_120_sft <= 36.354355|aroon_120_sft >= 72.5|slope_55_sft <= ema_200_sft,SHORT,Ret_12,6.724,0.9754,1654,87,1.1387,1.737,0.6515,100.0,94.0,0.7125,0.6908
slope_89_sft >= -0.069746|trix_55_sft >= 0.02781,SHORT,Ret_12,13.84,0.9742,2279,77,0.9285,2.1839,0.6513,100.0,93.1,0.6786,0.5685
aroon_144_sft >= 61.111111|plus_di_5_sft >= 6.996197,SHORT,SINTETICA_REVERSE,4.237,0.9667,1806,78,1.4192,1.4425,0.65,100.0,93.6,0.6706,0.7098
trix_55_sft >= 0.02781|efficiency_89_sft <= ema_144_sft|aroon_8_sft >= -62.5,SHORT,SINTETICA_REVERSE,12.948,0.9653,2261,94,1.3597,1.5482,0.6499,100.0,92.0,0.6227,0.6861
plus_di_21_sft >= 28.465954|trix_89_sft >= 0.006878,SHORT,SINTETICA_REVERSE,7.128,0.9355,1298,114,1.0481,1.8856,0.6498,100.0,90.1,0.6063,0.5439
aroon_144_sft >= 61.111111|macdh_200_sft >= -0.000243,SHORT,Ret_12,6.074,0.9588,1793,88,1.2435,1.6355,0.6471,100.0,92.0,0.6639,0.6773
aroon_8_sft >= 62.5|linreg_144_sft >= 0.000162,SHORT,SINTETICA_REVERSE,7.196,0.9846,1687,138,0.9964,1.9322,0.6458,100.0,94.8,0.5797,0.5744
trix_24_sft >= 0.078235|adx_34_sft >= 20.49297,SHORT,Ret_12,9.792,0.9629,1808,77,1.1265,1.7801,0.6449,100.0,94.6,0.6781,0.7349
minus_di_21_sft <= 47.460037|trix_89_sft >= 0.014626|slope_55_sft <= Close_sft,SHORT,Ret_12,2.569,0.8663,3436,79,2.0,1.2517,0.6438,99.9,92.2,0.582,0.6152
aroon_120_sft >= ema_120_sft|trix_55_sft >= 0.02781,SHORT,Ret_12,9.738,0.9761,2279,90,0.8867,2.2449,0.6436,100.0,91.8,0.6565,0.5778
