Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
linreg_89_sft <= -1e-06|aroon_144_sft <= -52.083332,LONG,Ret_12,7.359,0.9876,1498,78,1.2263,2.5658,1.0575,100.0,92.9,0.7293,0.7343
mom_120_sft >= 0.03876|mfi_55_sft <= 49.094963,SHORT,SINTETICA_REVERSE,15.165,0.9875,1970,77,1.753,1.9448,1.0795,100.0,94.7,0.6882,0.7386
stoch_89_sft >= 49.695614|stoch_144_sft <= 49.124619,LONG,SINTETICA_REVERSE,5.667,0.9556,1264,77,0.4835,1.2185,0.2188,100.0,95.3,0.6145,0.641
efficiency_89_sft >= 0.184314|macdh_55_sft >= 0.000595,SHORT,SINTETICA_REVERSE,11.812,0.9874,1121,87,0.7855,1.7162,0.4914,100.0,92.2,0.6472,0.5597
linreg_144_sft >= 0.00033|macdh_89_sft >= -0.001249|plus_di_34_sft >= ema_144_sft,SHORT,Ret_12,8.332,0.9872,3403,75,1.0257,2.2788,0.7168,100.0,91.8,0.706,0.6334
mfi_200_sft >= 5.94|mfi_144_sft <= 55.921642|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,19.846,0.9872,1715,118,0.9773,3.5292,1.1596,100.0,91.7,0.7013,0.5997
aroon_13_sft >= -61.53846|aroon_89_sft >= 61.797752,SHORT,SINTETICA_REVERSE,9.041,0.9823,1304,77,1.137,1.5541,0.6055,100.0,91.9,0.6524,0.6862
linreg_8_sft >= 0.003406|aroon_120_sft >= ema_5_sft,SHORT,Ret_12,26.277,0.9872,921,91,0.71,2.8217,0.7599,100.0,94.0,0.84,0.8353
stoch_5_sft <= 88.921791|stoch_55_sft <= 81.226753|stoch_34_sft <= 7.52,LONG,SINTETICA_REVERSE,4.546,0.9508,1471,235,1.2308,2.7218,1.0862,100.0,91.8,0.575,0.662
cci_13_sft >= 3.05|willr_89_sft <= -19.620047|willr_120_sft >= -22.627737,SHORT,SINTETICA_REVERSE,9.732,0.9268,1957,80,1.0779,1.021,0.3384,100.0,96.5,0.5565,0.5114
bbw_24_sft <= 0.067935|natr_55_sft >= 0.400427|vol_z_24_sft >= Close_sft,LONG,SINTETICA_REVERSE,3.177,0.8873,3422,112,1.754,0.7512,0.3495,100.0,98.6,0.5671,0.6558
force_120_sft >= -1.331197|roc_120_sft >= 3.45|rsi_55_sft >= -0.52,SHORT,SINTETICA_REVERSE,42.141,0.9871,1715,105,1.0865,3.4247,1.2391,100.0,92.9,0.7195,0.7436
cci_144_sft <= Close_sft|cci_55_sft <= 128.145737|cci_89_sft >= Close_sft,LONG,Ret_12,3.398,0.9387,1777,86,1.6639,1.0417,0.5304,99.6,92.1,0.5398,0.7308
rsi_200_sft >= -8.75|mfi_144_sft >= 41.958717|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,31.587,0.9901,1465,110,0.7979,4.9219,1.3809,100.0,93.8,0.7366,0.6987
mom_120_sft >= 0.03876|mfi_13_sft <= 61.757072,SHORT,SINTETICA_REVERSE,16.434,0.9871,1708,119,1.1661,2.7928,1.0789,100.0,93.8,0.6623,0.6497
stoch_5_sft <= 23.676014|hour_sft >= 16.0,LONG,SINTETICA_REVERSE,1.925,0.9443,1552,451,0.3953,1.4425,0.2113,100.0,92.7,0.5575,0.5663
linreg_34_sft >= 0.000552|aroon_144_sft >= ema_21_sft,SHORT,SINTETICA_REVERSE,19.587,0.9913,578,84,0.9602,2.7934,1.0601,100.0,91.0,0.7474,0.7726
willr_200_sft >= -25.023977|cci_200_sft >= 108.378761,SHORT,SINTETICA_REVERSE,28.761,0.9865,783,102,0.7553,2.6013,0.757,100.0,91.3,0.7483,0.6719
vol_z_200_sft <= -0.281068|vol_z_144_sft <= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,2.541,0.9654,2073,128,1.9372,1.2983,0.7694,100.0,98.9,0.5419,0.64
rsi_5_sft >= 70.009766|mom_120_sft >= 0.03876,SHORT,Ret_12,17.295,0.9863,1702,86,1.1299,3.1032,1.1642,100.0,91.8,0.7559,0.7496
macdh_120_sft >= 0.000894|slope_8_sft >= -0.720792,SHORT,SINTETICA_REVERSE,115.982,0.9863,1785,75,0.6104,2.196,0.4728,100.0,92.9,0.752,0.6341
efficiency_89_sft >= 0.184314|aroon_24_sft <= ema_34_sft,LONG,SINTETICA_REVERSE,3.79,0.9751,1364,141,1.4837,2.0415,1.0047,100.0,90.1,0.5493,0.5511
plus_di_5_sft >= 22.298693|linreg_144_sft >= 0.000162,SHORT,SINTETICA_REVERSE,11.656,0.9861,1220,201,0.8299,2.9637,0.8795,100.0,90.9,0.6121,0.535
roc_120_sft >= 3.482884|mfi_89_sft <= 53.894596,SHORT,SINTETICA_REVERSE,12.253,0.9816,1700,117,1.8383,2.6444,1.5564,100.0,91.9,0.6216,0.6188
cci_200_sft >= -5.89|willr_89_sft <= -50.290939,SHORT,SINTETICA_REVERSE,4.908,0.9319,2109,142,1.1439,1.8105,0.631,100.0,91.8,0.5815,0.5556
vol_z_21_sft >= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,1.617,0.7934,3421,304,2.0,1.357,0.6395,99.0,90.0,0.5177,0.5752
linreg_144_sft >= -2e-06|macdh_89_sft >= 0.000446,SHORT,SINTETICA_REVERSE,59.464,0.9858,706,80,1.0825,2.2253,0.9086,100.0,94.6,0.7486,0.6859
vol_z_120_sft <= -0.075898|natr_24_sft >= 0.382885,LONG,SINTETICA_REVERSE,1.997,0.8234,3571,121,2.0,1.4098,0.6859,99.9,97.4,0.5531,0.7032
mom_120_sft >= 0.01816|roc_48_sft >= Close_sft,SHORT,SINTETICA_REVERSE,17.556,0.9857,642,161,1.0304,3.5029,1.3869,100.0,90.2,0.6496,0.6983
slope_55_sft <= 0.095442|aroon_144_sft <= -28.472221,LONG,SINTETICA_REVERSE,12.443,0.9855,1063,86,1.3125,3.325,1.5273,100.0,91.5,0.729,0.8043
roc_200_sft >= -0.189906|roc_120_sft >= 3.482884,SHORT,SINTETICA_REVERSE,31.516,0.9853,1715,106,1.1452,3.451,1.3081,100.0,92.1,0.7042,0.6492
roc_120_sft >= 1.618074|mfi_120_sft <= 48.970642,SHORT,SINTETICA_REVERSE,8.307,0.9853,1640,137,1.3578,2.2884,1.0216,100.0,93.3,0.6411,0.6805
