Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
linreg_13_sft >= -9.69|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
adx_5_sft >= ema_120_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
efficiency_24_sft <= ema_144_sft|adx_5_sft >= ema_5_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
slope_89_sft <= ema_24_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|minus_di_24_sft >= 4.46,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_48_sft >= 24.211508|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
trix_5_sft >= -5.6|adx_21_sft >= ema_144_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|efficiency_5_sft >= -8.1,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
trix_144_sft >= -7.0|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
macdh_48_sft <= Close_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|plus_di_144_sft >= 3.58,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
linreg_89_sft <= 1.33|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_24_sft >= ema_200_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|macdh_200_sft >= -4.04,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
slope_200_sft <= 3.34|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_8_sft >= -4.8,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_48_sft >= 3.59|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|slope_89_sft >= -5.42|adx_89_sft >= -2.04,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_8_sft >= -9.4,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_120_sft >= 3.4,LONG,SINTETICA_REVERSE,23.394,0.9621,1676,105,2.0,2.8014,1.754,100.0,92.9,0.6698,0.8421
adx_89_sft >= 4.47|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.384,0.9621,1676,105,2.0,2.8006,1.7535,100.0,92.9,0.6688,0.8421
plus_di_24_sft >= 4.47|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8002,1.7532,100.0,92.9,0.6683,0.8415
plus_di_8_sft >= ema_89_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8002,1.7532,100.0,92.9,0.6683,0.8415
minus_di_34_sft >= 36.07122|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7923,2.978,1.7519,100.0,93.2,0.6724,0.8589
slope_89_sft >= -2.26|minus_di_89_sft >= 37.040524|ema_89_sft >= ema_8_sft,LONG,SINTETICA_REVERSE,33.636,0.9742,1468,88,1.8044,2.9867,1.7482,100.0,94.2,0.6855,0.8843
minus_di_89_sft >= 37.040524|macdh_120_sft <= ema_21_sft|ema_144_sft >= Close_sft,LONG,SINTETICA_REVERSE,32.59,0.9711,1321,92,1.7931,2.9693,1.7472,100.0,93.2,0.6723,0.8589
plus_di_24_sft >= -5.93|plus_di_55_sft <= 39.397358|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.59,0.9711,1321,92,1.7931,2.9693,1.7472,100.0,93.2,0.6723,0.8589
slope_48_sft <= 9.67|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
plus_di_144_sft >= ema_21_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|macdh_21_sft <= ema_5_sft|trix_48_sft >= -1.34,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
adx_24_sft >= ema_89_sft|macdh_89_sft <= ema_5_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
linreg_120_sft >= -2.06|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|slope_144_sft >= -3.57,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
ema_24_sft <= 3.52|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|macdh_48_sft >= -6.05,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
adx_21_sft >= 6.74|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
slope_34_sft <= ema_144_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
aroon_55_sft <= 67.272728|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|trix_24_sft <= 0.44,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
slope_55_sft <= 3.55|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|efficiency_34_sft <= Close_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|efficiency_13_sft <= 9.84,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|trix_144_sft >= -9.3,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|minus_di_120_sft >= 8.86,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
trix_24_sft <= ema_144_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|slope_34_sft <= ema_89_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|adx_21_sft >= 3.81,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|macdh_120_sft <= ema_48_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|efficiency_55_sft <= 9.74,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
slope_89_sft <= ema_144_sft|slope_48_sft <= ema_21_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|slope_89_sft <= 3.28,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|plus_di_5_sft >= -7.67|linreg_120_sft >= -8.56,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|minus_di_55_sft >= 35.240829,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
ema_120_sft >= -1.72|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
aroon_5_sft <= 100.0|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_13_sft >= ema_89_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|macdh_34_sft >= -7.81,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|trix_89_sft <= ema_34_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|minus_di_48_sft >= 30.850643,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
efficiency_8_sft <= 3.96|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
macdh_34_sft <= ema_21_sft|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
macdh_144_sft <= 7.02|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
linreg_13_sft <= 9.84|minus_di_120_sft >= 30.014061|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|minus_di_55_sft >= ema_21_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
macdh_55_sft >= -2.13|minus_di_89_sft >= 37.040524|plus_di_24_sft >= ema_55_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|minus_di_13_sft >= 14.290344,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
minus_di_89_sft >= 37.040524|plus_di_55_sft >= ema_120_sft,LONG,SINTETICA_REVERSE,32.686,0.9713,1321,92,1.7876,2.9758,1.7464,100.0,93.2,0.6724,0.8589
